iter	MultiClass
0	1.434290446
1	1.317252693
2	1.226628511
3	1.156529137
4	1.098586074
5	1.046985365
6	1.006103109
7	0.9701701834
8	0.9385452579
9	0.9118185271
10	0.8895246402
11	0.8673816406
12	0.8487064466
13	0.8324794369
14	0.8169144031
15	0.8048038107
16	0.7922686235
17	0.7830198316
18	0.7743104883
19	0.766058077
20	0.758045057
21	0.749892362
22	0.7435282867
23	0.7372892568
24	0.732054164
25	0.7268725624
26	0.7214191716
27	0.7179926057
28	0.7139183989
29	0.7091299547
30	0.7061248854
31	0.7045450099
32	0.7015104023
33	0.6991405242
34	0.696239628
35	0.6938920581
36	0.6907220933
37	0.6882255323
38	0.6862734992
39	0.6851773071
40	0.6833742142
41	0.6816631616
42	0.6797600819
43	0.6788366012
44	0.6777264997
45	0.6761890864
46	0.6746630636
47	0.6731803576
48	0.6715689387
49	0.6698232254
50	0.6691806175
51	0.6677511597
52	0.6670883328
53	0.6652761598
54	0.664991438
55	0.6637555498
56	0.6633313507
57	0.6624326756
58	0.6619702288
59	0.6614678802
60	0.6608394006
61	0.6595073327
62	0.6582321209
63	0.6572456265
64	0.6564151873
65	0.6555588117
66	0.6547467907
67	0.6538347012
68	0.6532258941
69	0.6528824082
70	0.6525102054
71	0.6512677101
72	0.6505942418
73	0.6504414656
74	0.648517545
75	0.647857133
76	0.6469485675
77	0.6462948389
78	0.6451329835
79	0.645082925
80	0.6442814334
81	0.6433353825
82	0.6432510016
83	0.642884859
84	0.6424523452
85	0.6419053437
86	0.6413710351
87	0.6402647341
88	0.6398980096
89	0.6394682042
90	0.6384616293
91	0.6379454423
92	0.6377054299
93	0.637356643
94	0.6366109702
95	0.6363483042
96	0.6359546488
97	0.6356556657
98	0.6355440641
99	0.6354871172
100	0.6352433721
101	0.6350087603
102	0.6349106664
103	0.6348524425
104	0.6339678211
105	0.6337628007
106	0.6332895665
107	0.6329144852
108	0.6327720375
109	0.6318683658
110	0.6309543915
111	0.6306463669
112	0.6297460579
113	0.6294486744
114	0.6289035838
115	0.6284454178
116	0.6277390826
117	0.6270398949
118	0.6269199908
119	0.6264188005
120	0.6260090282
121	0.6253746753
122	0.6249292232
123	0.6248023771
124	0.6244413072
125	0.6234303895
126	0.6230730859
127	0.6229567684
128	0.6223406945
129	0.6220227339
130	0.6214578696
131	0.6210192068
132	0.6204630483
133	0.6203103238
134	0.6197082001
135	0.6194314309
136	0.6190896867
137	0.618476084
138	0.6182102052
139	0.6179319824
140	0.6175471461
141	0.6166467332
142	0.6162811838
143	0.6160238073
144	0.6157388244
145	0.615274495
146	0.6149887065
147	0.6144930242
148	0.6141264298
149	0.6136978586
150	0.6132920588
151	0.6130367564
152	0.6126711386
153	0.6124714054
154	0.6121706734
155	0.6121172941
156	0.6118043789
157	0.6115762073
158	0.6113187291
159	0.6111683019
160	0.6110870969
161	0.6107627133
162	0.6104360482
163	0.6103904866
164	0.6101819252
165	0.6099901226
166	0.6099673434
167	0.6096742346
168	0.6095775775
169	0.6094346844
170	0.6092850704
171	0.608964695
172	0.6087134286
173	0.6084437267
174	0.6083241584
175	0.608202883
176	0.6078654947
177	0.6076381543
178	0.6075456077
179	0.6075083409
180	0.6071964193
181	0.6063441443
182	0.6061774832
183	0.6058926121
184	0.6055737847
185	0.6053999467
186	0.6048963589
187	0.6045535275
188	0.6043721502
189	0.6040045029
190	0.6039547527
191	0.6038457056
192	0.6038010382
193	0.6034384642
194	0.6032786895
195	0.6031546038
196	0.6030938619
197	0.6027319446
198	0.6026386596
199	0.6024230405
200	0.601953815
201	0.6013306753
202	0.6012580524
203	0.6011175931
204	0.6009834677
205	0.6008130026
206	0.6007677142
207	0.6006116571
208	0.6000482248
209	0.5996915949
210	0.599555089
211	0.5994472223
212	0.5992519418
213	0.5991159643
214	0.5989135882
215	0.5987353858
216	0.5982292294
217	0.5978887019
218	0.5977955807
219	0.5977292849
220	0.5975987686
221	0.597487255
222	0.5974557861
223	0.5973696867
224	0.5971040073
225	0.5969856765
226	0.596772546
227	0.5965423313
228	0.5964746122
229	0.5964415311
230	0.5964030945
231	0.5961198209
232	0.5960364216
233	0.5958585935
234	0.595784399
235	0.5956315462
236	0.5955188615
237	0.5952624868
238	0.5950727791
239	0.5947082722
240	0.5944852787
241	0.5943318813
242	0.5942800948
243	0.5940715296
244	0.5937970671
245	0.5935973275
246	0.5931751618
247	0.593165244
248	0.5928654274
249	0.5928264362
250	0.5926426587
251	0.5925601616
252	0.5924938208
253	0.5924807945
254	0.5924038452
255	0.5921786135
256	0.5921599361
257	0.5921220438
258	0.5917713057
259	0.591702728
260	0.5916749796
261	0.591299755
262	0.5910202597
263	0.5906937537
264	0.5905168117
265	0.5904985716
266	0.5904222336
267	0.5903922614
268	0.590240896
269	0.5901574188
270	0.590117647
271	0.5900149632
272	0.589769239
273	0.589514076
274	0.5894325517
275	0.589139285
276	0.5886316152
277	0.5885495946
278	0.5883135171
279	0.5882633819
280	0.5880854027
281	0.5879402183
282	0.5879221715
283	0.5878493119
284	0.5878313747
285	0.5876196663
286	0.5875175467
287	0.5873443449
288	0.587239828
289	0.5870686013
290	0.5867889125
291	0.5865551263
292	0.586338828
293	0.5862594143
294	0.586105258
295	0.5860423061
296	0.5855596303
297	0.585436499
298	0.5853660835
299	0.5851715377
300	0.5851150529
301	0.5850325175
302	0.5849795784
303	0.5849285417
304	0.5846942046
305	0.5845629871
306	0.5845136952
307	0.5843986749
308	0.5842656347
309	0.5842314027
310	0.5842147546
311	0.5841775724
312	0.5839978493
313	0.5839556317
314	0.5837084576
315	0.5836117251
316	0.5831899013
317	0.583150397
318	0.5830942398
319	0.5829477747
320	0.5827946821
321	0.5827763716
322	0.5824284164
323	0.5821925929
324	0.5821383775
325	0.5819874318
326	0.58181781
327	0.5817448728
328	0.5817328291
329	0.5814779684
330	0.5813058531
331	0.5812042964
332	0.5810903387
333	0.5810162266
334	0.5808312826
335	0.5807301288
336	0.5806950646
337	0.5804138533
338	0.5800922409
339	0.5800674252
340	0.5798228229
341	0.5794026545
342	0.5793915976
343	0.579198274
344	0.5790638063
345	0.5789896987
346	0.5788909358
347	0.5787291026
348	0.5785951397
349	0.5783803482
350	0.5782438853
351	0.5780907332
352	0.5778399737
353	0.5774605653
354	0.5773191515
355	0.5772137941
356	0.5769955135
357	0.5766229822
358	0.5765972229
359	0.5763432199
360	0.5762790377
361	0.5762311037
362	0.5759669479
363	0.5759536758
364	0.5756910998
365	0.5756409325
366	0.5756238852
367	0.575570893
368	0.5754757898
369	0.5754450809
370	0.5752935806
371	0.5752410553
372	0.5752028608
373	0.5751126003
374	0.5749253006
375	0.5749170439
376	0.5746184554
377	0.5745757589
378	0.5745185931
379	0.5744024841
380	0.5742141472
381	0.5739998189
382	0.5739336187
383	0.5738396394
384	0.5737955644
385	0.5737586391
386	0.5733260156
387	0.5731596067
388	0.5730033836
389	0.5728061419
390	0.5725006308
391	0.5724230718
392	0.5723538074
393	0.5721289969
394	0.5719698168
395	0.5719416025
396	0.5716940733
397	0.5715030187
398	0.5710046022
399	0.5708174766
400	0.5707285042
401	0.5707159478
402	0.5706261835
403	0.5704170569
404	0.5704004928
405	0.5698935208
406	0.5698770521
407	0.5696004713
408	0.5695923046
409	0.5694542152
410	0.5694418095
411	0.5693915308
412	0.5693430158
413	0.5691788365
414	0.5691033856
415	0.5690636958
416	0.5690564102
417	0.5687426326
418	0.568414963
419	0.56838321
420	0.5682424842
421	0.5679084641
422	0.5676237693
423	0.5675196192
424	0.5673954273
425	0.567209467
426	0.566933498
427	0.5668784722
428	0.5668709405
429	0.5667177042
430	0.5666530429
431	0.5666045329
432	0.566521513
433	0.5664762066
434	0.5663369983
435	0.5662898017
436	0.5662376314
437	0.5659943351
438	0.5659371861
439	0.5657040289
440	0.5655988464
441	0.5654910927
442	0.5653152188
443	0.5652736971
444	0.5652419627
445	0.5651964023
446	0.565093987
447	0.5650485524
448	0.564986008
449	0.5648418562
450	0.5646174504
451	0.5644126631
452	0.5642695991
453	0.5640794916
454	0.5640376114
455	0.5637675404
456	0.563673641
457	0.5636180282
458	0.5635456606
459	0.5633013141
460	0.563167137
461	0.5631013728
462	0.5628574078
463	0.5628174971
464	0.5627599679
465	0.5626496209
466	0.562563192
467	0.5622364873
468	0.562184289
469	0.5620782838
470	0.562045404
471	0.5618541077
472	0.5615545673
473	0.5614216426
474	0.5613582934
475	0.5611385445
476	0.5608080973
477	0.560630073
478	0.5606236106
479	0.5605103991
480	0.5604975398
481	0.560447424
482	0.5603508158
483	0.560180035
484	0.5601301537
485	0.5601124284
486	0.559954643
487	0.5596757919
488	0.5593701709
489	0.5592081673
490	0.5591355132
491	0.5589235506
492	0.5587564117
493	0.5585948792
494	0.5585848638
495	0.5585224487
496	0.5584452132
497	0.558020877
498	0.5577183688
499	0.5574207103
500	0.5572982247
501	0.5572500219
502	0.5571937312
503	0.557116032
504	0.5568786617
505	0.5567674373
506	0.5566199915
507	0.5566018601
508	0.5565693565
509	0.556135517
510	0.5560313969
511	0.5557925892
512	0.5557119093
513	0.5557043361
514	0.5554672865
515	0.5554446022
516	0.5552625299
517	0.5551457986
518	0.5550975678
519	0.555030413
520	0.55501578
521	0.5547667109
522	0.5547424255
523	0.5546884029
524	0.554530488
525	0.5544266543
526	0.5543129538
527	0.5540999896
528	0.5539910489
529	0.5538221554
530	0.5537435872
531	0.553364291
532	0.5533063458
533	0.5531228058
534	0.5527096182
535	0.5524426474
536	0.5523113264
537	0.5522734358
538	0.5521223326
539	0.552047619
540	0.5519426668
541	0.5516209498
542	0.5515148285
543	0.551476181
544	0.5514068353
545	0.5512745789
546	0.5511283093
547	0.5510936738
548	0.5509987321
549	0.5506929019
550	0.5505404415
551	0.5504176661
552	0.550206847
553	0.5501251315
554	0.5499284008
555	0.5497353418
556	0.5496091794
557	0.5494980756
558	0.5492369959
559	0.5490399836
560	0.5487385654
561	0.5486504623
562	0.5485769234
563	0.5483674112
564	0.5482241836
565	0.5481404424
566	0.5478207774
567	0.5477689029
568	0.5477506518
569	0.5473902053
570	0.5472245393
571	0.5472058618
572	0.5469308799
573	0.5467728821
574	0.5466736834
575	0.5465790449
576	0.5465389988
577	0.5464917243
578	0.5464871217
579	0.5464804728
580	0.54622735
581	0.5460609177
582	0.5460559356
583	0.545824911
584	0.545564506
585	0.5452991712
586	0.5451182658
587	0.545021288
588	0.5450122084
589	0.5449005848
590	0.5448413691
591	0.5447796417
592	0.5447176018
593	0.5446533783
594	0.5443236094
595	0.5443019401
596	0.5441398653
597	0.5440750713
598	0.5440489467
599	0.5439526068
600	0.5438314861
601	0.5436385304
602	0.5435656687
603	0.5435433174
604	0.5434960556
605	0.5434800268
606	0.5434484576
607	0.5432926539
608	0.5431174317
609	0.5430858029
610	0.5430067656
611	0.542839292
612	0.5427924336
613	0.5426064085
614	0.5425330419
615	0.5423857334
616	0.5422755686
617	0.5422494895
618	0.5422083755
619	0.5420936061
620	0.5419995411
621	0.5417762023
622	0.5417640727
623	0.5415576381
624	0.5415162846
625	0.5415097336
626	0.5413175905
627	0.5410816475
628	0.5408064774
629	0.5407335035
630	0.5403603769
631	0.5399276416
632	0.5397212614
633	0.5396034332
634	0.5393299167
635	0.5393086426
636	0.539176509
637	0.5391240918
638	0.5389035364
639	0.5388058721
640	0.5387677551
641	0.5384046329
642	0.5380358123
643	0.5378468101
644	0.537832821
645	0.5377347579
646	0.5375914572
647	0.5375107082
648	0.5374454262
649	0.5372545122
650	0.5372041556
651	0.5371169481
652	0.5369258402
653	0.5368171225
654	0.5367169005
655	0.5366494164
656	0.5364872352
657	0.5363900836
658	0.5362348144
659	0.536137993
660	0.5360632339
661	0.5358050466
662	0.5356046641
663	0.535534023
664	0.5353158553
665	0.5351438314
666	0.5351362274
667	0.5349990224
668	0.5348759489
669	0.5347402964
670	0.5344800596
671	0.5343801174
672	0.53434849
673	0.534237635
674	0.5338352802
675	0.5337067159
676	0.5335800779
677	0.5334601974
678	0.5334249324
679	0.5333461951
680	0.5331765122
681	0.5330964713
682	0.5328517923
683	0.5328105984
684	0.5326700048
685	0.5325825616
686	0.5322801729
687	0.5322606868
688	0.5319878804
689	0.5319236282
690	0.5317434578
691	0.5316590775
692	0.5314478537
693	0.5314311852
694	0.5313629103
695	0.5313271274
696	0.531201481
697	0.5310657137
698	0.5310129567
699	0.5310025628
700	0.5308944541
701	0.5307376774
702	0.53051729
703	0.5305125095
704	0.5304136534
705	0.5303749098
706	0.5303378167
707	0.5301293945
708	0.5301156709
709	0.5298525574
710	0.5298036666
711	0.5297659357
712	0.5297305108
713	0.5295947227
714	0.5293752954
715	0.5293197665
716	0.5292026201
717	0.529141419
718	0.5288767288
719	0.5288556675
720	0.5285457901
721	0.528452656
722	0.5282322173
723	0.5280871538
724	0.5280088032
725	0.5278563816
726	0.52774672
727	0.5276320372
728	0.5275703358
729	0.5273886509
730	0.5272584007
731	0.5271899401
732	0.5271318171
733	0.5270250033
734	0.5268870791
735	0.5267751572
736	0.5264298496
737	0.526228241
738	0.5260322245
739	0.5259983493
740	0.5258410315
741	0.5257463714
742	0.5255343861
743	0.5253715133
744	0.525349938
745	0.5252113228
746	0.5250381726
747	0.5248979652
748	0.5248329515
749	0.5246481716
750	0.5245933961
