iter	Passed	Remaining
402	10514	15575
403	10540	15550
404	10566	15523
405	10595	15501
406	10618	15470
407	10645	15446
408	10666	15413
409	10690	15383
410	10701	15336
411	10727	15310
412	10749	15278
413	10775	15251
414	10801	15226
415	10824	15195
416	10846	15163
417	10872	15138
418	10898	15112
419	10923	15085
420	10948	15057
421	10976	15033
422	11005	15011
423	11029	14983
424	11053	14955
425	11078	14927
426	11104	14901
427	11129	14874
428	11151	14842
429	11175	14814
430	11203	14790
431	11227	14762
432	11249	14730
433	11271	14699
434	11297	14673
435	11318	14641
436	11341	14612
437	11368	14587
438	11390	14556
439	11416	14529
440	11442	14503
441	11465	14474
442	11493	14450
443	11516	14421
444	11537	14389
445	11561	14360
446	11584	14331
447	11608	14303
448	11631	14273
449	11657	14248
450	11682	14220
451	11706	14192
452	11733	14168
453	11758	14141
454	11781	14111
455	11807	14085
456	11830	14056
457	11858	14033
458	11882	14005
459	11908	13979
460	11934	13953
461	11959	13927
462	11986	13902
463	12009	13873
464	12032	13843
465	12056	13815
466	12084	13792
467	12111	13767
468	12136	13741
469	12161	13713
470	12187	13687
471	12214	13663
472	12244	13642
473	12271	13617
474	12296	13591
475	12326	13569
476	12353	13544
477	12379	13519
478	12403	13490
479	12429	13465
480	12452	13436
481	12477	13409
482	12504	13384
483	12534	13363
484	12560	13337
485	12584	13309
486	12610	13283
487	12637	13259
488	12665	13235
489	12693	13211
490	12721	13188
491	12749	13163
492	12775	13137
493	12800	13111
494	12822	13081
495	12849	13057
496	12875	13030
497	12902	13006
498	12932	12984
499	12961	12961
500	12986	12934
501	13009	12905
502	13032	12876
503	13056	12849
504	13081	12822
505	13104	12794
506	13128	12766
507	13151	12737
508	13177	12711
509	13204	12686
510	13227	12658
511	13255	12634
512	13281	12607
513	13304	12579
514	13331	12554
515	13356	12528
516	13384	12504
517	13409	12477
518	13432	12449
519	13460	12425
520	13482	12395
521	13510	12371
522	13533	12343
523	13558	12316
524	13585	12292
525	13613	12267
526	13642	12244
527	13667	12218
528	13695	12193
529	13723	12170
530	13750	12144
531	13779	12121
532	13802	12093
533	13830	12069
534	13862	12048
535	13891	12025
536	13917	11999
537	13943	11974
538	13971	11949
539	13998	11924
540	14024	11899
541	14053	11875
542	14080	11850
543	14104	11823
544	14128	11795
545	14151	11767
546	14177	11740
547	14199	11712
548	14225	11685
549	14252	11660
550	14279	11635
551	14304	11609
552	14331	11584
553	14358	11559
554	14384	11533
555	14414	11511
556	14442	11486
557	14467	11459
558	14494	11434
559	14520	11409
560	14548	11384
561	14574	11358
562	14601	11333
563	14631	11311
564	14661	11288
565	14687	11261
566	14713	11236
567	14740	11210
568	14764	11183
569	14794	11160
570	14822	11136
571	14849	11111
572	14877	11086
573	14906	11063
574	14931	11036
575	14957	11010
576	14986	10986
577	15010	10959
578	15034	10931
579	15058	10904
580	15086	10880
581	15113	10854
582	15137	10827
583	15164	10802
584	15191	10776
585	15219	10752
586	15246	10726
587	15271	10700
588	15295	10673
589	15319	10645
590	15342	10617
591	15366	10590
